Name,State,Category,Progress (%),Size (GB),Save Path
The Anxious Generation,stalledUP,Books,100,0.3,C:\Users\lb562\Documents\T\Books
The.Chosen.S01.1080p.AMZN.WEBRip.DDP5.1.x264-AlfaHD[rartv],stalledUP,Shows,100,23.8,C:\Users\lb562\Documents\T\Shows
Star Wars Andor Season 1 Mp4 1080p,uploading,Shows,100,12.38,C:\Users\lb562\Documents\T\Shows\Andor
Kong Skull Island (2017) [1080p] [YTS.AG],uploading,Movie,100,1.81,D:\Movies\Kong Skull Island (2017) [1080p] [YTS.AG]
The Incredibles (2004) [1080p] [YTS.AG],stalledUP,Movie,100,1.75,D:\Movies\The Incredibles (2004) [1080p] [YTS.AG]
Godzilla.X.Kong.The.New.Empire.2024.1080p.WEB-DL.AAC5.1.H.264-GODZiLLA [ProtonMovies],stalledUP,Movie,100,2.41,D:\Movies\Godzilla.X.Kong.The.New.Empire.2024.1080p.WEB-DL.AAC5.1.H.264-GODZiLLA [ProtonMovies]
BRANDON SANDERSON MISTBORN  GRAPHIC AUDIO,missingFiles,Books,0,11.68,C:\Users\lb562\Documents\T
Margin Call (2011) [1080p] [BluRay] [5.1] [YTS.MX],stalledUP,Movie,100,1.98,D:\Movies\Margin Call (2011) [1080p] [BluRay] [5.1] [YTS.MX]
[ www.Torrent9.Red ] Roman J Israel Esq 2017 TRUEFRENCH BDRip XviD-FuN,stalledUP,Movie,100,1.37,D:\Movies\[ www.Torrent9.Red ] Roman J Israel Esq 2017 TRUEFRENCH BDRip XviD-FuN
FTL.Faster.Than.Light.v1.6.14.rar,stalledUP,Games,100,0.2,C:\Users\lb562\Documents\T\Games
Wreck-It Ralph (2012) [1080p],uploading,Movie,100,1.4,D:\Movies\Wreck-It Ralph (2012) [1080p]
Season #8 [2023],stalledUP,Shows,100,3.69,C:\Users\lb562\Documents\T\Shows
Predator Badlands 2025 1080p HDRip HEVC x265 BONE.mkv,uploading,Movie,100,1.45,D:\Movies
Venom.The.Last.Dance.2024.1080p.WEBRip.AAC5.1.10bits.x265-Rapta.mkv,stalledUP,Movie,100,1.3,D:\Movies\Venom.The.Last.Dance.2024.1080p.WEBRip.AAC5.1.10bits.x265-Rapta
Criminal Minds (2005) Season 1 S01 (1080p WEB x265 HEVC 10bit EAC3 6.0 FreetheFish),uploading,Shows,100,22.71,C:\Users\lb562\Documents\T\Shows\Criminal Minds
Shrek (2001) [1080p],uploading,Movie,100,0.99,D:\Movies\Shrek (2001) [1080p]
A Quiet Place Day One (2024) [1080p] [WEBRip] [5.1] [YTS.MX],stalledUP,Movie,100,1.83,D:\Movies\A Quiet Place Day One (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
